National Pokédex	English name	Japanese name	Johto Pokédex	Hoenn Pokédex	Sinnoh Pokédex	Unova Pokédex	Evolution
497	Serperior	Jalorda[58]	–	–	–	3	495cServine
498	Tepig[55]	Pokabu[56]	–	–	–	4	498aEgg
499	Pignite	Chaoboo[59]	–	–	–	5	498bTepig
500	Emboar	Enbuoh[60]	–	–	–	6	498cPignite
501	Oshawott[55]	Mijumaru[56]	–	–	–	7	501aEgg
502	Dewott	Futachimaru[61]	–	–	–	8	501bOshawott
503	Samurott	Daikenki[62]	–	–	–	9	501cDewott
504	Patrat[63]	Minezumi[56]	–	–	–	10	504aEgg
505	Watchog[64]	Miruhog[56]	–	–	–	11	504bPatrat
506	Lillipup[65]	–	–	–	–	12	506aEgg
507	Herdier[66]	–	–	–	–	13	506bLillipup
508	Stoutland	Mooland	–	–	–	14	507cHerdier
509	Purrloin[67]	Choroneko[68]	–	–	–	15	509aEgg
510	Liepard[69]	Lepardas	–	–	–	16	509bPurrloin
511	Pansage[70]	Yanappu[71]	–	–	–	17	511aEgg
512	Simisage	Yanakkie[72]	–	–	–	18	511bPansage
513	Pansear[73]	Baoppu[74]	–	–	–	19	513aEgg
514	Simisear	Baokkie[75]	–	–	–	20	513bPansear
515	Panpour[76]	Hiyappu[77]	–	–	–	21	515aEgg
516	Simipour	Hiyakkie[78]	–	–	–	22	515bPanpour
517	Munna[79]	Munna[56]	–	–	–	23	517aEgg
518	Musharna[80]	Musharna[56]	–	–	–	24	Munna
519	Pidove[81]	Mamepato[56]	–	–	–	25	519aEgg
520	Tranquill	Hatoboh[82]	–	–	–	26	519bPidove
521	Unfezant	Kenhallow[83]	–	–	–	27	519cTranquill
522	Blitzle[84]	Shimama	–	–	–	28	522aEgg
523	Zebstrika	Zebraika[85]	–	–	–	29	522bBlitzle
524	Roggenrola	Dangoro[83]	–	–	–	30	524aEgg
525	Boldore	Gantle[83]	–	–	–	31	524bRoggenrola
526	Gigalith[86]	Gigaiath[85]	–	–	–	32	524cBoldore
527	Woobat[87]	Koromori[56]	–	–	–	33	527aEgg
528	Swoobat	–	–	–	–	34	527bWoobat
529	Drilbur[88]	Mogurew[56]	–	–	–	35	529aEgg
530	Excadrill[89]	Doryuzu[90]	–	–	–	36	529bDrilbur
531	Audino[91]	Tabunne[92]	–	–	–	37	531Egg
532	Timburr	–	–	–	–	38	532aEgg
533	Gurdurr	–	–	–	–	39	532bTimburr
534	Conkeldurr	–	–	–	–	40	532cGurdurr
535	Tympole	Otamaro	–	–	–	41	535aEgg
536	Palpitoad	–	–	–	–	42	535bTympole
537	Seismitoad	–	–	–	–	43	535cPalpitoad
538	Throh	Nageki	–	–	–	44	538Egg
539	Sawk	Dageki	–	–	–	45	539Egg
540	Sewaddle[93]	Kurumiru[82]	–	–	–	46	540aEgg
541	Swadloon	–	–	–	–	47	540bSewaddle
542	Leavanny	–	–	–	–	48	540cSwadloon
543	Venipede	–	–	–	–	49	543aEgg
544	Whirlipede	–	–	–	–	50	543bVenipede
545	Scolipede	Pendror[82]	–	–	–	51	543cWhirlipede
546	Cottonee	Monmen	–	–	–	52	546aEgg
547	Whimsicott	Elfuun	–	–	–	53	546bCottonee
548	Petilil	Churine	–	–	–	54	548aEgg
549	Lilligant	Dredear	–	–	–	55	548bPetilil
550	Basculin[94]	Bassrao	–	–	–	56	550Egg
551	Sandile[95]	Meguroco[56]	–	–	–	57	551aEgg
552	Krokorok	Waruvile	–	–	–	58	551bSandile
553	Krookodile	Waruvial	–	–	–	59	551cKrokorok
554	Darumaka	Darumakka[82]	–	–	–	60	554aEgg
555	Darmanitan[96]	Hihidaruma[56]	–	–	–	61	554bDarumaka
556	Maractus	Maracacchi	–	–	–	62	556Egg
557	Dwebble	Ishizumai[82]	–	–	–	63	557aEgg
558	Crustle	–	–	–	–	64	557bDwebble
559	Scraggy	Zuruggu[82]	–	–	–	65	559aEgg
560	Scrafty	–	–	–	–	66	559bScraggy
561	Sigilyph	Symboler	–	–	–	67	561Egg
562	Yamask[97]	Desumasu[82]	–	–	–	68	562Egg
563	Cofagrigus[98]	Desukarn[85]	–	–	–	69	562bYamask
564	Tirtouga	–	–	–	–	70	564aEgg/Cover Fossil
565	Carracosta	Abagoura	–	–	–	71	564bTirtouga
566	Archen	Archen[99]	–	–	–	72	566aEgg/Plume Fossil
567	Archeops	Archeos	–	–	–	73	566bArchen
568	Trubbish	–	–	–	–	74	568aEgg
569	Garbodor	–	–	–	–	75	568bTrubbish
570	Zorua[100]‡	Zorua[56]	–	–	–	76	570aEgg
571	Zoroark[100]‡	Zoroark[56]	–	–	–	77	570bZorua
572	Minccino[101]	Chillarmy[102]	–	–	–	78	572aEgg
573	Cinccino	Chillaccino	–	–	–	79	572bMinccino
574	Gothita	Gothimu[99]	–	–	–	80	574aEgg
575	Gothorita	–	–	–	–	81	574bGothita
576	Gothitelle[103]	Gothiruselle[104]	–	–	–	82	574cGothorita
577	Solosis	Uniran[99]	–	–	–	83	577aEgg
578	Duosion	–	–	–	–	84	577bSolosis
579	Reuniclus[105]	Lanculus[82]	–	–	–	85	577cDuosion
580	Ducklett	Koaruhie	–	–	–	86	580aEgg
581	Swanna[106]	Swanna	–	–	–	87	580bDucklett
582	Vanillite	Vanipeti	–	–	–	88	582aEgg
583	Vanillish	–	–	–	–	89	582bVanillite
584	Vanilluxe	–	–	–	–	90	582cVanillish
585	Deerling[107]	Shikijika[108]	–	–	–	91	585aEgg
586	Sawsbuck[109]	Mebukijika[82]	–	–	–	92	585bDeerling
587	Emolga[110]	Emonga[111]	–	–	–	93	587Egg
588	Karrablast	–	–	–	–	94	588aEgg
589	Escavalier	Chevargo[85]	–	–	–	95	588bKarrablast
590	Foongus	Tamagetake[104]	–	–	–	96	590aEgg
591	Amoonguss	–	–	–	–	97	590bFoongus
592	Frillish	–	–	–	–	98	592aEgg
593	Jellicent	–	–	–	–	99	592bFrillish
594	Alomomola[112]	Mamanbou[56]	–	–	–	100	594Egg
595	Joltik	–	–	–	–	101	595aEgg
596	Galvantula[113]	Dentula[104]	–	–	–	102	595bJoltik
597	Ferroseed	–	–	–	–	103	597aEgg
598	Ferrothorn	Nutrey[99]	–	–	–	104	597bFerroseed
599	Klink[114]	Giaru[82]	–	–	–	105	599aEgg
600	Klang	Gigiaru	–	–	–	106	599bKlink
601	Klinklang	Gigigiaru	–	–	–	107	599cKlang
602	Tynamo	–	–	–	–	108	602aEgg
603	Eelektrik	–	–	–	–	109	602bTynamo
604	Eelektross	–	–	–	–	110	602cEelektrik
605	Elgyem	Ligray	–	–	–	111	605aEgg
606	Beheeyem	–	–	–	–	112	605cElgyem
607	Litwick	Hitomoshi	–	–	–	113	607aEgg
608	Lampent	–	–	–	–	114	607bLitwick
609	Chandelure	Chandela	–	–	–	115	607cLampent
610	Axew[115]	Kibago[56]	–	–	–	116	610aEgg
611	Fraxure[116]	Onondo[117]	–	–	–	117	610bAxew
612	Haxorus[118]	Ononokus[119]	–	–	–	118	610cFraxure
613	Cubchoo	Kumasyun[120]	–	–	–	119	613aEgg
614	Beartic	Tunbear	–	–	–	120	613bCubchoo
615	Cryogonal	–	–	–	–	121	615Egg
616	Shelmet	–	–	–	–	122	616aEgg
617	Accelgor	Agilder[85]	–	–	–	123	616bShelmet
618	Stunfisk	–	–	–	–	124	618Egg
619	Mienfoo	Kojofu	–	–	–	125	619aEgg
620	Mienshao	–	–	–	–	126	619bMienfoo
621	Druddigon	Crimgan[85]	–	–	–	127	621Egg
622	Golett	–	–	–	–	128	622aEgg
623	Golurk	Goloog	–	–	–	129	622bGolett
624	Pawniard	–	–	–	–	130	624aEgg
625	Bisharp	Kirikizan	–	–	–	131	624bPawniard
626	Bouffalant	Buffron	–	–	–	132	626Egg
627	Rufflet	–	–	–	–	133	627aEgg
628	Braviary[121]	Warrgle[85]	–	–	–	134	627bRufflet
629	Vullaby	–	–	–	–	135	629aEgg
630	Mandibuzz	–	–	–	–	136	629bVullaby
631	Heatmor	–	–	–	–	137	631Egg
632	Durant	–	–	–	–	138	632Egg
633	Deino	–	–	–	–	139	633aEgg
634	Zweilous	–	–	–	–	140	633bDeino
635	Hydreigon	Sazandora	–	–	–	141	633cZweilous
636	Larvesta	–	–	–	–	142	636aEgg
637	Volcarona	Ulgamoth	–	–	–	143	636bLarvesta
638	Cobalion	Cobalon	–	–	–	144	638–
639	Terrakion	Terrakion	–	–	–	145	639–
640	Virizion	Virizion	–	–	–	146	640–
641	Tornadus	Tornelos	–	–	–	147	641–
642	Thundurus	Voltolos	–	–	–	148	642–
643	Reshiram[122]	Reshiram[56]	–	–	–	149	643–
644	Zekrom[122]	Zekrom[56]	–	–	–	150	644–
645	Landorus	Landlos	–	–	–	151	645–
646	Kyurem	Kyurem[123]	–	–	–	152	646–
